tray,pos,hpi,genotype,cluster,size
1,B_07,48,lacs,Chlorotic,0.03800340328984685
1,B_07,72,lacs,Chlorotic,0.37433155080213903
1,B_07,96,lacs,Chlorotic,0.5343705799151344
1,B_08,0,lacs,Chlorotic,0
1,B_08,24,lacs,Chlorotic,0
1,B_08,48,lacs,Chlorotic,0
1,B_08,72,lacs,Chlorotic,0
1,B_08,96,lacs,Chlorotic,0
1,B_09,0,lacs,Chlorotic,0
1,B_09,24,lacs,Chlorotic,0
1,B_09,48,lacs,Chlorotic,0
1,B_09,72,lacs,Chlorotic,0.24121621621621622
1,B_09,96,lacs,Chlorotic,0.29826989619377164
1,B_10,0,lacs,Chlorotic,0
1,B_10,24,lacs,Chlorotic,4.246284501061571e-4
1,B_10,48,lacs,Chlorotic,0
1,B_10,72,lacs,Chlorotic,4.1562759767248546e-4
1,B_10,96,lacs,Chlorotic,0.02423469387755102
1,B_11,0,lacs,Chlorotic,0
1,B_11,24,lacs,Chlorotic,0
1,B_11,48,lacs,Chlorotic,0
1,B_11,72,lacs,Chlorotic,0.015625
1,B_11,96,lacs,Chlorotic,0.07603041216486595
1,B_12,0,lacs,Chlorotic,0
1,B_12,24,lacs,Chlorotic,0
1,B_12,48,lacs,Chlorotic,0
1,B_12,72,lacs,Chlorotic,0.043343653250773995
1,B_12,96,lacs,Chlorotic,0.22663913267940114
1,C_01,0,cyp,Chlorotic,0
1,C_01,24,cyp,Chlorotic,0
1,C_01,48,cyp,Chlorotic,0.012622149837133551
1,C_01,72,cyp,Chlorotic,0
1,C_01,96,cyp,Chlorotic,0
1,C_02,0,cyp,Chlorotic,0
1,C_02,24,cyp,Chlorotic,0
1,C_02,48,cyp,Chlorotic,0.029
1,C_02,72,cyp,Chlorotic,0.039400665926748055
1,C_02,96,cyp,Chlorotic,0.05001634521085322
1,C_03,0,cyp,Chlorotic,0
1,C_03,24,cyp,Chlorotic,0
1,C_03,48,cyp,Chlorotic,0
1,C_03,72,cyp,Chlorotic,0
1,C_03,96,cyp,Chlorotic,0
1,C_04,0,cyp,Chlorotic,0
1,C_04,24,cyp,Chlorotic,0
1,C_04,48,cyp,Chlorotic,0.04607046070460705
1,C_04,72,cyp,Chlorotic,0
1,C_04,96,cyp,Chlorotic,0.010722610722610723
1,C_05,0,cyp,Chlorotic,0
1,C_05,24,cyp,Chlorotic,0
1,C_05,48,cyp,Chlorotic,0
1,C_05,72,cyp,Chlorotic,0
1,C_05,96,cyp,Chlorotic,0
1,C_06,0,cyp,Chlorotic,0
1,C_06,24,cyp,Chlorotic,0
1,C_06,48,cyp,Chlorotic,0.027533460803059275
1,C_06,72,cyp,Chlorotic,0.0011895321173671688
1,C_06,96,cyp,Chlorotic,0.0012371134020618556
1,C_07,0,cyp,Chlorotic,0
1,C_07,24,cyp,Chlorotic,0
1,C_07,48,cyp,Chlorotic,0.17726657645466848
1,C_07,72,cyp,Chlorotic,0.07856849033319621
1,C_07,96,cyp,Chlorotic,0.08408408408408409
1,C_08,0,cyp,Chlorotic,0
1,C_08,24,cyp,Chlorotic,0
1,C_08,48,cyp,Chlorotic,0.3106267029972752
1,C_08,72,cyp,Chlorotic,0.1332133213321332
1,C_08,96,cyp,Chlorotic,0.10514018691588785
1,C_09,0,cyp,Chlorotic,0
1,C_09,24,cyp,Chlorotic,0
1,C_09,48,cyp,Chlorotic,0.010788690476190476
1,C_09,72,cyp,Chlorotic,0.04007707129094412
1,C_09,96,cyp,Chlorotic,0.002959830866807611
1,C_10,0,cyp,Chlorotic,0
1,C_10,24,cyp,Chlorotic,0
1,C_10,48,cyp,Chlorotic,0.1223648029330889
1,C_10,72,cyp,Chlorotic,0.24275222265172014
1,C_10,96,cyp,Chlorotic,0.07923497267759563
1,C_11,0,cyp,Chlorotic,0
1,C_11,24,cyp,Chlorotic,0
1,C_11,48,cyp,Chlorotic,0.10591133004926108
1,C_11,72,cyp,Chlorotic,0.24220405691795338
1,C_11,96,cyp,Chlorotic,0.06835611870623541
1,C_12,0,cyp,Chlorotic,0
1,C_12,24,cyp,Chlorotic,0
1,C_12,48,cyp,Chlorotic,0.11442786069651742
1,C_12,72,cyp,Chlorotic,0.024324324324324326
1,C_12,96,cyp,Chlorotic,0.07255048616305161
1,A_01,0,Col-0,Necrotic,0.0024382810118866198
1,A_01,24,Col-0,Necrotic,0.031326034063260344
1,A_01,48,Col-0,Necrotic,0.2103046014257939
1,A_01,72,Col-0,Necrotic,0.37822552138564863
1,A_01,96,Col-0,Necrotic,0.25085518814139113
1,A_02,0,Col-0,Necrotic,0.0019524894240156199
1,A_02,24,Col-0,Necrotic,0.07197696737044146
1,A_02,48,Col-0,Necrotic,0.26846057571964954
1,A_02,72,Col-0,Necrotic,0.1914428482198626
1,A_02,96,Col-0,Necrotic,0.22587931590835753
1,A_03,0,Col-0,Necrotic,0.0016535758577924762
1,A_03,24,Col-0,Necrotic,0.015402843601895734
1,A_03,48,Col-0,Necrotic,0.16022944550669216
1,A_03,72,Col-0,Necrotic,0.13771106941838648
1,A_03,96,Col-0,Necrotic,0.14874484825777445
1,A_04,0,Col-0,Necrotic,0.006502890173410405
1,A_04,24,Col-0,Necrotic,0.049569707401032705
1,A_04,48,Col-0,Necrotic,0.19205729166666666
1,A_04,72,Col-0,Necrotic,0.10976408912188729
1,A_04,96,Col-0,Necrotic,0.10670223407802601
1,A_05,0,Col-0,Necrotic,0.006119951040391677
1,A_05,24,Col-0,Necrotic,0.02830472749171936
1,A_05,48,Col-0,Necrotic,0.23378537735849056
1,A_05,72,Col-0,Necrotic,0.22899850523168908
1,A_05,96,Col-0,Necrotic,0.19057560393677303
1,A_06,0,Col-0,Necrotic,0.005148741418764302
1,A_06,24,Col-0,Necrotic,0.040055632823365786
1,A_06,48,Col-0,Necrotic,0.3107776261937244
1,A_06,72,Col-0,Necrotic,0.13173156586578294
1,A_06,96,Col-0,Necrotic,0.11873944850872256
1,A_07,0,Col-0,Necrotic,0.005490483162518302
1,A_07,24,Col-0,Necrotic,0.03570086433671552
1,A_07,48,Col-0,Necrotic,0.3980690679539547
1,A_07,72,Col-0,Necrotic,0.09211986681465038
1,A_07,96,Col-0,Necrotic,0.09164325842696629
1,A_08,0,Col-0,Necrotic,0.013964577656675749
1,A_08,24,Col-0,Necrotic,0.022563767168083716
1,A_08,48,Col-0,Necrotic,0.1340909090909091
1,A_08,72,Col-0,Necrotic,0.0943885825494648
1,A_08,96,Col-0,Necrotic,0.09289439374185136
1,A_09,0,Col-0,Necrotic,0.01989683124539425
1,A_09,24,Col-0,Necrotic,0.09263565891472868
1,A_09,48,Col-0,Necrotic,0.4338292873923258
1,A_09,72,Col-0,Necrotic,0.03572846367606193
1,A_09,96,Col-0,Necrotic,0.07703649096940655
1,A_10,0,Col-0,Necrotic,0.030278232405891982
1,A_10,24,Col-0,Necrotic,0.06416464891041163
1,A_10,48,Col-0,Necrotic,0.1987281399046105
1,A_10,72,Col-0,Necrotic,0.14394853236831523
1,A_10,96,Col-0,Necrotic,0.17330116606353035
1,A_11,0,Col-0,Necrotic,0.03367496339677892
1,A_11,24,Col-0,Necrotic,0.11079032840129917
1,A_11,48,Col-0,Necrotic,0.29954079830448604
1,A_11,72,Col-0,Necrotic,0.19408242338851708
1,A_11,96,Col-0,Necrotic,0.29931234165761855
1,A_12,0,Col-0,Necrotic,0.09125269978401727
1,A_12,24,Col-0,Necrotic,0.20621761658031088
1,A_12,48,Col-0,Necrotic,0.2686796315250768
1,A_12,72,Col-0,Necrotic,0.2879396984924623
1,A_12,96,Col-0,Necrotic,0.2802056555269923
1,B_01,0,lacs,Necrotic,0.01206896551724138
1,B_01,24,lacs,Necrotic,0.05911823647294589
1,B_01,48,lacs,Necrotic,0.17355910126994464
1,B_01,72,lacs,Necrotic,0.2733108108108108
1,B_01,96,lacs,Necrotic,0.37734487734487737
1,B_02,0,lacs,Necrotic,0.01836622807017544
1,B_02,24,lacs,Necrotic,0.021859362654727415
1,B_02,48,lacs,Necrotic,0.15625
1,B_02,72,lacs,Necrotic,0.21505376344086022
1,B_02,96,lacs,Necrotic,0.27263427109974425
1,B_03,0,lacs,Necrotic,0.050335570469798654
1,B_03,24,lacs,Necrotic,0.056239957150508835
1,B_03,48,lacs,Necrotic,0.09348290598290598
1,B_03,72,lacs,Necrotic,0.2068206820682068
1,B_03,96,lacs,Necrotic,0.39829059829059826
1,B_04,0,lacs,Necrotic,0.02962025316455696
1,B_04,24,lacs,Necrotic,0.02804878048780488
1,B_04,48,lacs,Necrotic,0.033171912832929785
1,B_04,72,lacs,Necrotic,0.08654773384763742
1,B_04,96,lacs,Necrotic,0.19419148412503076
1,B_05,0,lacs,Necrotic,0.034528997653369094
1,B_05,24,lacs,Necrotic,0.07548430193720775
1,B_05,48,lacs,Necrotic,0.06028131279303416
1,B_05,72,lacs,Necrotic,0.12627637848876788
1,B_05,96,lacs,Necrotic,0.2795120200932903
1,B_06,0,lacs,Necrotic,0.04973716134249899
1,B_06,24,lacs,Necrotic,0.2145873320537428
1,B_06,48,lacs,Necrotic,0.4503386004514673
1,B_06,72,lacs,Necrotic,0.4018092725216736
1,B_06,96,lacs,Necrotic,0.38523644752018454
1,B_07,0,lacs,Necrotic,0.004870624048706241
1,B_07,24,lacs,Necrotic,0.07161882213672684
1,B_07,48,lacs,Necrotic,0.30204197390811116
1,B_07,72,lacs,Necrotic,0.2583732057416268
1,B_07,96,lacs,Necrotic,0.20282885431400283
1,B_08,0,lacs,Necrotic,4.3047783039173483e-4
1,B_08,24,lacs,Necrotic,0.029134181370537547
1,B_08,48,lacs,Necrotic,0.005707297187117815
1,B_08,72,lacs,Necrotic,0.007371007371007371
1,B_08,96,lacs,Necrotic,0.042383550146873686
1,B_09,0,lacs,Necrotic,0.03337874659400545
1,B_09,24,lacs,Necrotic,0.05019059720457433
1,B_09,48,lacs,Necrotic,0.3467084639498433
1,B_09,72,lacs,Necrotic,0.28445945945945944
1,B_09,96,lacs,Necrotic,0.28027681660899656
1,B_10,0,lacs,Necrotic,0.010309278350515464
1,B_10,24,lacs,Necrotic,0.011040339702760084
1,B_10,48,lacs,Necrotic,0.016
1,B_10,72,lacs,Necrotic,0.0627597672485453
1,B_10,96,lacs,Necrotic,0.24362244897959184
1,B_11,0,lacs,Necrotic,0.07103123662815576
1,B_11,24,lacs,Necrotic,0.09094583670169766
1,B_11,48,lacs,Necrotic,0.12520064205457465
1,B_11,72,lacs,Necrotic,0.17109375
1,B_11,96,lacs,Necrotic,0.29811924769907966
1,B_12,0,lacs,Necrotic,0.012535612535612535
1,B_12,24,lacs,Necrotic,0.03645007923930269
1,B_12,48,lacs,Necrotic,0.29111338100102147
1,B_12,72,lacs,Necrotic,0.45562435500515996
1,B_12,96,lacs,Necrotic,0.39029426948890034
1,C_01,0,cyp,Necrotic,0.012779552715654952
1,C_01,24,cyp,Necrotic,0.014196242171189978
1,C_01,48,cyp,Necrotic,0.1758957654723127
1,C_01,72,cyp,Necrotic,0.4783540505786541
1,C_01,96,cyp,Necrotic,0.7367450437989858
1,C_02,0,cyp,Necrotic,0.0030356691120667846
1,C_02,24,cyp,Necrotic,0.061139896373056994
1,C_02,48,cyp,Necrotic,0.34625
1,C_02,72,cyp,Necrotic,0.8063263041065483
1,C_02,96,cyp,Necrotic,0.7966655769859431
1,C_03,0,cyp,Necrotic,0.0020465592223074956
1,C_03,24,cyp,Necrotic,0.07384772090654444
1,C_03,48,cyp,Necrotic,0.2769588828549263
1,C_03,72,cyp,Necrotic,0.6684392448816804
1,C_03,96,cyp,Necrotic,0.9031783402001177
1,C_04,0,cyp,Necrotic,0.007164404223227752
1,C_04,24,cyp,Necrotic,0.0663544106167057
1,C_04,48,cyp,Necrotic,0.4142469996128533
1,C_04,72,cyp,Necrotic,0.8372093023255814
1,C_04,96,cyp,Necrotic,0.8941724941724942
1,C_05,0,cyp,Necrotic,0.0023346303501945525
1,C_05,24,cyp,Necrotic,0.00963855421686747
1,C_05,48,cyp,Necrotic,0.3315972222222222
1,C_05,72,cyp,Necrotic,0.701154163231657
1,C_05,96,cyp,Necrotic,0.8171854449802718
1,C_06,0,cyp,Necrotic,0.009807928075194115
1,C_06,24,cyp,Necrotic,0.08491710473109583
1,C_06,48,cyp,Necrotic,0.2910133843212237
1,C_06,72,cyp,Necrotic,0.5836637589214909
1,C_06,96,cyp,Necrotic,0.7492783505154639
1,C_07,0,cyp,Necrotic,0.03139832055494706
1,C_07,24,cyp,Necrotic,0.15448693676637637
1,C_07,48,cyp,Necrotic,0.19485791610284167
1,C_07,72,cyp,Necrotic,0.6565199506375977
1,C_07,96,cyp,Necrotic,0.8099528099528099
1,C_08,0,cyp,Necrotic,0.02693437806072478
1,C_08,24,cyp,Necrotic,0.1941974730931212
1,C_08,48,cyp,Necrotic,0.20572207084468666
1,C_08,72,cyp,Necrotic,0.6561656165616562
1,C_08,96,cyp,Necrotic,0.8
1,C_09,0,cyp,Necrotic,0.03388681802778719
1,C_09,24,cyp,Necrotic,0.08491580078824794
1,C_09,48,cyp,Necrotic,0.40736607142857145
1,C_09,72,cyp,Necrotic,0.6851637764932562
1,C_09,96,cyp,Necrotic,0.86553911205074
1,C_10,0,cyp,Necrotic,0.0189873417721519
1,C_10,24,cyp,Necrotic,0.1123015873015873
1,C_10,48,cyp,Necrotic,0.20485792850595783
1,C_10,72,cyp,Necrotic,0.5249323540780827
1,C_10,96,cyp,Necrotic,0.8337236533957846
1,C_11,0,cyp,Necrotic,0.003033980582524272
1,C_11,24,cyp,Necrotic,0.0335956416464891
1,C_11,48,cyp,Necrotic,0.3288177339901478
1,C_11,72,cyp,Necrotic,0.527096578867696
1,C_11,96,cyp,Necrotic,0.8689563187729243
1,C_12,0,cyp,Necrotic,0.0049148099606815205
1,C_12,24,cyp,Necrotic,0.08093645484949832
1,C_12,48,cyp,Necrotic,0.2938877043354655
1,C_12,72,cyp,Necrotic,0.8331081081081081
1,C_12,96,cyp,Necrotic,0.8605086013462977
